Month,Year,County,Med_Sales,Rec_Sales,ID
12,2019,Weld,314840.0,2448689.0,122019Weld
12,2019,Summit,,2476854.0,122019Summit
12,2019,Sum of NR Counties,27314662.0,116437714.0,122019Sum of NR Counties
12,2019,San Miguel,,444533.0,122019San Miguel
12,2019,San Juan,,13232.0,122019San Juan
12,2019,Saguache,,246391.0,122019Saguache
12,2019,Routt,153737.0,1112789.0,122019Routt
12,2019,Pueblo,754498.0,6312066.0,122019Pueblo
12,2019,Pitkin,,1305423.0,122019Pitkin
12,2019,Park,,405939.0,122019Park
12,2019,Ouray,,730178.0,122019Ouray
12,2019,Morgan,,1452645.0,122019Morgan
12,2019,Montezuma,,1793908.0,122019Montezuma
12,2019,Moffat,,853209.0,122019Moffat
12,2019,Mesa,,1896560.0,122019Mesa
12,2019,Las Animas,27183.0,4024747.0,122019Las Animas
12,2019,Larimer,805873.0,8164102.0,122019Larimer
12,2019,Lake,,241905.0,122019Lake
12,2019,La Plata,,2490195.0,122019La Plata
12,2019,Jefferson,1443914.0,4707227.0,122019Jefferson
12,2019,Huerfano,,170840.0,122019Huerfano
12,2019,Gunnison,,659584.0,122019Gunnison
12,2019,Grand,,655035.0,122019Grand
12,2019,Gilpin,,238682.0,122019Gilpin
12,2019,Garfield,113011.0,1883752.0,122019Garfield
12,2019,El Paso,8251711.0,,122019El Paso
12,2019,Eagle,107825.0,1847271.0,122019Eagle
12,2019,Denver,11636868.0,33246095.0,122019Denver
12,2019,Costilla,,350369.0,122019Costilla
12,2019,Clear Creek,,662522.0,122019Clear Creek
12,2019,Boulder,1214853.0,8622927.0,122019Boulder
12,2019,Archuleta,,893754.0,122019Archuleta
12,2019,Arapahoe,875889.0,12359535.0,122019Arapahoe
12,2019,Adams,708001.0,9632162.0,122019Adams
11,2019,Weld,314633.0,2452994.0,112019Weld
11,2019,Summit,62495.0,1635742.0,112019Summit
11,2019,Sum of NR Counties,26697731.0,114381244.0,112019Sum of NR Counties
11,2019,San Miguel,,200951.0,112019San Miguel
11,2019,Saguache,,250049.0,112019Saguache
11,2019,Routt,155209.0,850163.0,112019Routt
11,2019,Pueblo,775300.0,6525541.0,112019Pueblo
11,2019,Pitkin,,616732.0,112019Pitkin
11,2019,Park,,375600.0,112019Park
11,2019,Morgan,,1614277.0,112019Morgan
11,2019,Montezuma,,1918432.0,112019Montezuma
11,2019,Moffat,,927151.0,112019Moffat
11,2019,Mesa,,1954432.0,112019Mesa
11,2019,Las Animas,27877.0,4384901.0,112019Las Animas
11,2019,Larimer,782261.0,8013976.0,112019Larimer
11,2019,Lake,,224151.0,112019Lake
11,2019,La Plata,,2259703.0,112019La Plata
11,2019,Jefferson,1353642.0,4515281.0,112019Jefferson
11,2019,Huerfano,,182778.0,112019Huerfano
11,2019,Gunnison,,535869.0,112019Gunnison
11,2019,Grand,,444042.0,112019Grand
11,2019,Gilpin,,250692.0,112019Gilpin
11,2019,Garfield,110705.0,1860390.0,112019Garfield
11,2019,El Paso,7950598.0,,112019El Paso
11,2019,Eagle,98948.0,1180699.0,112019Eagle
11,2019,Denver,11411092.0,34648813.0,112019Denver
11,2019,Costilla,,337001.0,112019Costilla
11,2019,Clear Creek,,535899.0,112019Clear Creek
11,2019,Boulder,1357101.0,8483233.0,112019Boulder
11,2019,Archuleta,,699377.0,112019Archuleta
11,2019,Arapahoe,811741.0,12396622.0,112019Arapahoe
11,2019,Adams,685651.0,9451567.0,112019Adams
10,2019,Weld,318300.0,2509429.0,102019Weld
10,2019,Summit,73581.0,1501163.0,102019Summit
10,2019,Sum of NR Counties,850137.0,4777025.0,102019Sum of NR Counties
10,2019,San Miguel,,291816.0,102019San Miguel
10,2019,Saguache,,297666.0,102019Saguache
10,2019,Routt,159723.0,970928.0,102019Routt
10,2019,Pueblo,827745.0,6766568.0,102019Pueblo
10,2019,Pitkin,,781376.0,102019Pitkin
10,2019,Park,,417780.0,102019Park
10,2019,Ouray,,832739.0,102019Ouray
10,2019,Morgan,,1703510.0,102019Morgan
10,2019,Montezuma,,2193331.0,102019Montezuma
10,2019,Moffat,,938222.0,102019Moffat
10,2019,Mesa,,2016637.0,102019Mesa
10,2019,Las Animas,24047.0,4732006.0,102019Las Animas
10,2019,Larimer,832007.0,8323162.0,102019Larimer
10,2019,La Plata,,2602002.0,102019La Plata
10,2019,Jefferson,1324490.0,4884640.0,102019Jefferson
10,2019,Huerfano,,246923.0,102019Huerfano
10,2019,Gunnison,,681223.0,102019Gunnison
10,2019,Grand,,465374.0,102019Grand
10,2019,Gilpin,,289843.0,102019Gilpin
10,2019,Garfield,110987.0,2092588.0,102019Garfield
10,2019,El Paso,9021347.0,,102019El Paso
10,2019,Eagle,97072.0,1207886.0,102019Eagle
10,2019,Denver,12745449.0,36658663.0,102019Denver
10,2019,Costilla,,417345.0,102019Costilla
10,2019,Clear Creek,,616200.0,102019Clear Creek
10,2019,Boulder,1228765.0,8610513.0,102019Boulder
10,2019,Archuleta,,846030.0,102019Archuleta
10,2019,Arapahoe,932864.0,12818898.0,102019Arapahoe
10,2019,Adams,683146.0,9755113.0,102019Adams
9,2019,Weld,319547.0,2488389.0,92019Weld
9,2019,Summit,78799.0,1766747.0,92019Summit
9,2019,San Miguel,,497397.0,92019San Miguel
9,2019,Saguache,,328977.0,92019Saguache
9,2019,Routt,153657.0,1137506.0,92019Routt
9,2019,Pueblo,833119.0,7075867.0,92019Pueblo
9,2019,Pitkin,,1080615.0,92019Pitkin
9,2019,Park,,490736.0,92019Park
9,2019,Ouray,,969806.0,92019Ouray
9,2019,Morgan,,1814560.0,92019Morgan
9,2019,Montezuma,,2236163.0,92019Montezuma
9,2019,Moffat,,941147.0,92019Moffat
9,2019,Mesa,,2096230.0,92019Mesa
9,2019,Las Animas,26096.0,5283914.0,92019Las Animas
9,2019,Larimer,797466.0,8330812.0,92019Larimer
9,2019,Lake,,339220.0,92019Lake
9,2019,La Plata,,2703739.0,92019La Plata
9,2019,Jefferson,1314993.0,4895351.0,92019Jefferson
9,2019,Huerfano,,296572.0,92019Huerfano
9,2019,Gunnison,,856666.0,92019Gunnison
9,2019,Grand,,615627.0,92019Grand
9,2019,Gilpin,,237204.0,92019Gilpin
9,2019,Garfield,105595.0,2248930.0,92019Garfield
9,2019,Fremont,168380.0,,92019Fremont
9,2019,El Paso,8842307.0,,92019El Paso
9,2019,Eagle,96109.0,1393391.0,92019Eagle
9,2019,Denver,12356485.0,37916128.0,92019Denver
9,2019,Costilla,,481640.0,92019Costilla
9,2019,Clear Creek,11791.0,718321.0,92019Clear Creek
9,2019,Boulder,1165078.0,9284700.0,92019Boulder
9,2019,Archuleta,,1014873.0,92019Archuleta
9,2019,Arapahoe,866332.0,12830887.0,92019Arapahoe
9,2019,Adams,731170.0,9752924.0,92019Adams
8,2019,Weld,351554.0,2481294.0,82019Weld
8,2019,Summit,75201.0,2185290.0,82019Summit
8,2019,San Miguel,,533833.0,82019San Miguel
8,2019,San Juan,,121885.0,82019San Juan
8,2019,Saguache,,371636.0,82019Saguache
8,2019,Routt,152079.0,1180583.0,82019Routt
8,2019,Pueblo,908369.0,8022564.0,82019Pueblo
8,2019,Pitkin,,1444148.0,82019Pitkin
8,2019,Park,,515847.0,82019Park
8,2019,Ouray,,974730.0,82019Ouray
8,2019,Morgan,,1952180.0,82019Morgan
8,2019,Montezuma,,2379204.0,82019Montezuma
8,2019,Moffat,,954918.0,82019Moffat
8,2019,Mesa,,2099263.0,82019Mesa
8,2019,Las Animas,55576.0,6596831.0,82019Las Animas
8,2019,Larimer,830557.0,8922915.0,82019Larimer
8,2019,La Plata,,2952663.0,82019La Plata
8,2019,Jefferson,1538794.0,5509978.0,82019Jefferson
8,2019,Huerfano,,335825.0,82019Huerfano
8,2019,Gunnison,,999651.0,82019Gunnison
8,2019,Grand,,706335.0,82019Grand
8,2019,Gilpin,,257280.0,82019Gilpin
8,2019,Garfield,106647.0,2482081.0,82019Garfield
8,2019,El Paso,10095380.0,,82019El Paso
8,2019,Eagle,110662.0,1704479.0,82019Eagle
8,2019,Denver,13211048.0,43018205.0,82019Denver
8,2019,Costilla,,533246.0,82019Costilla
8,2019,Clear Creek,,838619.0,82019Clear Creek
8,2019,Chaffee,,746184.0,82019Chaffee
8,2019,Boulder,1198666.0,10131205.0,82019Boulder
8,2019,Archuleta,,1146192.0,82019Archuleta
8,2019,Arapahoe,940341.0,14224608.0,82019Arapahoe
8,2019,Adams,826903.0,10611452.0,82019Adams
7,2019,Weld,315974.0,2253999.0,72019Weld
7,2019,Summit,,2321296.0,72019Summit
7,2019,Sum of NR Counties,731373.0,5026754.0,72019Sum of NR Counties
7,2019,San Miguel,,598904.0,72019San Miguel
7,2019,Saguache,,338997.0,72019Saguache
7,2019,Routt,138343.0,1172448.0,72019Routt
7,2019,Pueblo,887221.0,7718630.0,72019Pueblo
7,2019,Pitkin,,1424271.0,72019Pitkin
7,2019,Park,,545077.0,72019Park
7,2019,Ouray,,915949.0,72019Ouray
7,2019,Morgan,,1661346.0,72019Morgan
7,2019,Montezuma,39297.0,2268925.0,72019Montezuma
7,2019,Moffat,,845115.0,72019Moffat
7,2019,Mesa,,1986339.0,72019Mesa
7,2019,Las Animas,39874.0,5983076.0,72019Las Animas
7,2019,Larimer,788774.0,8367530.0,72019Larimer
7,2019,Lake,,368841.0,72019Lake
7,2019,La Plata,,2844294.0,72019La Plata
7,2019,Jefferson,1405637.0,5198994.0,72019Jefferson
7,2019,Huerfano,,338563.0,72019Huerfano
7,2019,Gunnison,,1029159.0,72019Gunnison
7,2019,Grand,,764812.0,72019Grand
7,2019,Garfield,110091.0,2346451.0,72019Garfield
7,2019,Fremont,165281.0,,72019Fremont
7,2019,El Paso,9792834.0,,72019El Paso
7,2019,Eagle,104621.0,1713739.0,72019Eagle
7,2019,Denver,13134715.0,41013102.0,72019Denver
7,2019,Costilla,,521095.0,72019Costilla
7,2019,Clear Creek,,844933.0,72019Clear Creek
7,2019,Chaffee,,779946.0,72019Chaffee
7,2019,Boulder,1160910.0,10013202.0,72019Boulder
7,2019,Archuleta,,1206281.0,72019Archuleta
7,2019,Arapahoe,861782.0,13602987.0,72019Arapahoe
7,2019,Adams,713244.0,9889690.0,72019Adams
6,2019,Weld,311967.0,2352064.0,62019Weld
6,2019,Summit,74340.0,1736484.0,62019Summit
6,2019,Sum of NR Counties,791130.0,4658836.0,62019Sum of NR Counties
6,2019,San Miguel,,469822.0,62019San Miguel
6,2019,Saguache,,286055.0,62019Saguache
6,2019,Routt,142624.0,948687.0,62019Routt
6,2019,Pueblo,677697.0,6887823.0,62019Pueblo
6,2019,Pitkin,,996927.0,62019Pitkin
6,2019,Park,,455450.0,62019Park
6,2019,Morgan,,1447340.0,62019Morgan
6,2019,Montezuma,,1901689.0,62019Montezuma
6,2019,Moffat,,795081.0,62019Moffat
6,2019,Mesa,,1925607.0,62019Mesa
6,2019,Las Animas,38607.0,5314210.0,62019Las Animas
6,2019,Larimer,1336184.0,7642805.0,62019Larimer
6,2019,Lake,,277973.0,62019Lake
