Month,Year,County,Med_Tax_Rev,Rec_Tax_Rev,ID
8,2019,Adams,17037.0,,82019Adams
8,2019,Arapahoe,24256.0,,82019Arapahoe
8,2019,Boulder,33557.0,,82019Boulder
8,2019,Denver,392226.0,,82019Denver
8,2019,Eagle,2826.0,,82019Eagle
8,2019,El Paso,270107.0,,82019El Paso
8,2019,Fremont,5548.0,,82019Fremont
8,2019,Garfield,3086.0,,82019Garfield
8,2019,Jefferson,39411.0,,82019Jefferson
8,2019,Larimer,22969.0,,82019Larimer
8,2019,Las Animas,1901.0,,82019Las Animas
8,2019,Montezuma,1102.0,,82019Montezuma
8,2019,Pueblo,21459.0,,82019Pueblo
8,2019,Routt,3878.0,,82019Routt
8,2019,Weld,8858.0,,82019Weld
8,2019,Sum of NR Counties,18015.0,,82019Sum of NR Counties
7,2019,Adams,16539.0,,72019Adams
7,2019,Arapahoe,23076.0,,72019Arapahoe
7,2019,Boulder,29361.0,,72019Boulder
7,2019,Denver,357367.0,,72019Denver
7,2019,Eagle,2501.0,,72019Eagle
7,2019,El Paso,291131.0,,72019El Paso
7,2019,Garfield,3797.0,,72019Garfield
7,2019,Jefferson,39008.0,,72019Jefferson
7,2019,Larimer,19575.0,,72019Larimer
7,2019,Las Animas,1082.0,,72019Las Animas
7,2019,Pueblo,17354.0,,72019Pueblo
7,2019,Routt,3998.0,,72019Routt
7,2019,Summit,2084.0,,72019Summit
7,2019,Weld,8746.0,,72019Weld
7,2019,Sum of NR Counties,22155.0,,72019Sum of NR Counties
6,2019,Adams,40248.0,,62019Adams
6,2019,Arapahoe,34767.0,,62019Arapahoe
6,2019,Boulder,32044.0,,62019Boulder
6,2019,Denver,419366.0,,62019Denver
6,2019,Eagle,2418.0,,62019Eagle
6,2019,El Paso,274695.0,,62019El Paso
6,2019,Garfield,3582.0,,62019Garfield
6,2019,Jefferson,39562.0,,62019Jefferson
6,2019,Larimer,22399.0,,62019Larimer
6,2019,Las Animas,1258.0,,62019Las Animas
6,2019,Pitkin,1555.0,,62019Pitkin
6,2019,Pueblo,21492.0,,62019Pueblo
6,2019,Routt,3863.0,,62019Routt
6,2019,Summit,2319.0,,62019Summit
6,2019,Weld,8798.0,,62019Weld
6,2019,Sum of NR Counties,23047.0,,62019Sum of NR Counties
5,2019,Adams,14932.0,,52019Adams
5,2019,Arapahoe,17175.0,,52019Arapahoe
5,2019,Boulder,32725.0,,52019Boulder
5,2019,Denver,350404.0,,52019Denver
5,2019,Eagle,2546.0,,52019Eagle
5,2019,El Paso,255727.0,,52019El Paso
5,2019,Garfield,3206.0,,52019Garfield
5,2019,Jefferson,27501.0,,52019Jefferson
5,2019,Larimer,22562.0,,52019Larimer
5,2019,Las Animas,958.0,,52019Las Animas
5,2019,Montezuma,1327.0,,52019Montezuma
5,2019,Pitkin,1696.0,,52019Pitkin
5,2019,Pueblo,22190.0,,52019Pueblo
5,2019,Routt,3972.0,,52019Routt
5,2019,Summit,2598.0,,52019Summit
5,2019,Weld,9444.0,,52019Weld
5,2019,Sum of NR Counties,22563.0,,52019Sum of NR Counties
4,2019,Adams,21146.0,,42019Adams
4,2019,Arapahoe,23080.0,,42019Arapahoe
4,2019,Boulder,33388.0,,42019Boulder
4,2019,Denver,346317.0,,42019Denver
4,2019,Eagle,4199.0,,42019Eagle
4,2019,El Paso,264408.0,,42019El Paso
